model,explore,unused_joins,unused_fields
fashionly_embed,users_extended,N/A,"users_extended.age"
fashionly_embed,map_test,N/A,"map_test.count"
fashionly_embed,events,users,events.count"
fashionly_embed,test,"products"
fashionly_embed,orders,users,"orders._2_weeks"
not_localized,__navigation_bar,N/A,__navigation_bar.navigationBar__home"
not_localized,head_example,N/A,"head_example.count"
not_localized,events,N/A,"events.count"
not_localized,inventory_items,products,"inventory_items.cost"
not_localized,order_items,products,"inventory_items.cost"
not_localized,orders,N/A,"order_items.count"
not_localized,products,N/A,"products.brand"
not_localized,schema_migrations,N/A,"schema_migrations.count"
not_localized,user_data,N/A,"user_data.count"
not_localized,user_datas,"products"
not_localized,users,N/A,"users.age"
not_localized,users_nn,N/A,"users_nn.count"